Solution_ID,Total_Cost,Cost_Change_vs_Baseline_%,Weighted_Task_Completion_%,Completion_Improvement_vs_Baseline_%,Low_Importance_Completion_%,Med_Importance_Completion_%,High_Importance_Completion_%,Min_Completion_Across_Types_%,Max_Completion_Across_Types_%,Completion_Balance_StdDev,Meets_min%_Constraint,Total_Failures,Total_Maintenance,Threshold_Low_Importance,Threshold_Med_Importance,Threshold_High_Importance
28,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.456151970674318,9.612323439713442,9.7684592421917
29,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.785727821380409,9.387381447011082,10.330475000572143
30,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.243271034226753,9.193333623508142,9.187243755011007
31,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.6506387736533625,9.009355343759738,9.286282899405057
32,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.950186228963151,9.422275457214917,9.982307625244989
33,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.8235823908323745,9.092128751933997,9.923236105249945
34,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.649401643901964,9.510133484195546,10.150978343979524
35,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.163491823282458,9.209457983844542,9.459707412542773
36,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.69647804342981,9.01816836069372,9.654186241379998
37,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.137854122767523,10.071032093277463,10.112741218241414
38,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.449961222448772,9.895255611261899,9.796783303246047
39,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.46700666773718,9.189337990535181,9.577460068812185
40,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.767165480418713,9.030932717690236,10.150978343979524
41,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.934981423907647,9.895255611261899,9.854005576116784
42,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,10.21178178589417,9.136572493684064,9.632092055393622
43,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.410280958057584,9.442201237461633,9.668057079544637
44,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.789818729175967,9.087648591993178,9.518419965701021
45,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.199318565226413,9.479057363634073,9.805405320960373
46,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.059610945634004,9.550762147601404,9.890542717175
47,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,10.989549741691125,9.35968856977271,10.08838128642634
48,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.427799748813653,9.210225500613083,9.958386382924331
49,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.364966617164615,9.068538797746626,9.430051757168401
50,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,9.20697604044108,9.686607456770503,9.901348797972027
51,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.435762004386554,9.069220310732687,9.704139954907136
52,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.34279297992512,9.531861543069438,9.266007421108831
53,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.807694719371078,9.315116775697861,9.508664913137894
54,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,7.82471076456328,9.255091685323057,9.86747479567114
55,2750000.0,0.0,42.634148796939456,0.0,77.72727272727272,80.25252525252526,78.70098039215686,77.72727272727272,80.25252525252526,1.039887728271345,False,100,0,8.442894093172962,9.39459130020468,9.967962469903311
